source_pdf,source_page,source_table,manufacturer,category,series,base_model,variant_label,display_name,variant_source,part_number,msrp_usd_raw,resolution_raw,resolution_width,resolution_height,megapixels_calculated,megapixels_label_pdf,sensor_lens_hfov_raw,sensor_size_normalized,focal_length_min_mm,focal_length_max_mm,aperture_min_f,aperture_max_f,hfov_max_deg,hfov_min_deg,lens_variant_mm,frame_rate_variant_fps,max_fps_raw,optical_zoom_raw,min_illumination_raw,wdr_lightfinder_raw,optimized_ir_builtin_ir_raw,power_raw,io_ports_raw,audio_support_builtin_mic_raw,audio_support,builtin_mic,compute_capabilities_raw,included_video_analytics_raw,secure_boot_signed_video_secure_keystore_raw,sustainability_raw,special_features_raw,temperature_range_raw,sensitivity_raw,pan_tilt_raw,thermal_flag,radiometric_or_temperature_flag,raw_attribute_count,all_raw_pdf_fields_json
Default_Camera,,,ACME,,ACME Series,ACME T-1000,1 mm,ACME T-1000,,T1000-001,$999.99 ,3840x2196 (8MP),3840,2196,8,8 MP,1,1,1,100,1,100,100,100,1,,,,,,,,,,,,,,,,,,,,,,,
DayCor UV EyeScope.pdf,3,TECHNICAL SPECIFICATIONS,Ofil,UV corona / visible overlay cameras,DayCor UV EyeScope,DayCor UV EyeScope,,DayCor UV EyeScope,manufacturer_datasheet,300000,,HD 720p,1280,720,0.92,HD 720p,"Bi-spectral UV-visible; VIS 10.6-33 mm optical zoom; UV fixed 40 mm; HFOV 20°-6.7°; VFOV 11.25°-3.8°","Visible: 5.1 x 3.8 mm; UV: 17.5 mm diameter",10.6,33,,,20,6.7,40,25,25 FPS,"Visible optical zoom 10.6-33 mm; UV fixed 40 mm",0.06 Lux,,,"12V DC, 36 W","1GB Ethernet RJ45",,no,no,"UV/visible synchronized overlay; corona detection; RTSP/H.264 streaming","Corona and arcing detection; photon counting via UDP/ONVIF",,,Solar blind UV; ONVIF; UDP API; IP65,-20°C to +55°C,"Minimum discharge 1 pC @ 8 m",External PT platform (Pontis PT83 compatible),no,no,42,"{""Part Number"":""300000"",""Visible Lens"":""10.6-33 mm"",""UV Lens"":""40 mm fixed"",""Visible Sensor"":""5.1 x 3.8 mm"",""UV Sensor"":""17.5 mm diameter"",""HFOV"":""20-6.7 deg"",""VFOV"":""11.25-3.8 deg"",""Recommended Simulation Lens"":""10.6 mm"",""Recommended Distance"":""5-40 m"",""IFOV"":""0.15 mrad"",""Streaming"":""RTSP"",""ONVIF"":""S + UV event counting"",""API"":""UDP Command Protocol""}"
DayCor UV Eyelite.pdf,4,TECHNICAL SPECIFICATIONS,Ofil,UV corona / visible overlay cameras,DayCor UV Eyelite,DayCor UV Eyelite,,DayCor UV Eyelite,manufacturer_datasheet,260000,,HD 720p,1280,720,0.92,HD 720p,"Bi-spectral UV-visible; VIS 35-51 mm (digital zoom only); UV fixed 100 mm; HFOV 8°; VFOV 4.5°","Visible: 5.1 x 3.8 mm; UV: 17.5 mm diameter",35,35,,,8,8,100,25,25 FPS,"Digital zoom only (no optical zoom)",0.06 Lux,,,"12V DC, 36 W","1GB Ethernet RJ45",,no,no,"UV/visible synchronized overlay; corona detection; RTSP/H.264 streaming","Corona and arcing detection; photon counting via UDP/ONVIF",,,Solar blind UV; ONVIF; UDP API; IP65,-20°C to +55°C,"Minimum discharge 1 pC @ 15 m",External PT platform (Pontis PT83 compatible),no,no,40,"{""Part Number"":""260000"",""Visible Lens"":""35-51 mm (digital zoom only)"",""UV Lens"":""100 mm fixed"",""Visible Sensor"":""5.1 x 3.8 mm"",""UV Sensor"":""17.5 mm diameter"",""HFOV"":""8 deg"",""VFOV"":""4.5 deg"",""Recommended Simulation Lens"":""35 mm"",""Recommended Distance"":""1.5-100 m"",""IFOV"":""0.06 mrad"",""Streaming"":""RTSP"",""ONVIF"":""S + UV event counting"",""API"":""UDP Command Protocol""}"
DayCor UV Eye.pdf,4,TECHNICAL SPECIFICATIONS,Ofil,UV corona / visible overlay PT cameras,DayCor UV Eye,DayCor UV Eye,,DayCor UV Eye,manufacturer_datasheet,250000,,HD 720p,1280,720,0.92,HD 720p,"Bi-spectral UV-visible; VIS 28-51 mm optical zoom; UV 55-110 mm; HFOV 10°-6.3°; VFOV 5.6°-3.6°","Visible: 5.1 x 3.8 mm; UV: 17.5 mm diameter",28,51,,,10,6.3,55,25,25 FPS,"Visible optical zoom 28-51 mm; UV optical 55-110 mm; digital zoom supported",0.06 Lux,,,"12V DC, 36 W","HDMI; 1GB Ethernet RJ45",,no,no,"UV/visible synchronized overlay; corona detection; RTSP/H.264 streaming","Corona and arcing detection; photon counting via UDP/ONVIF",,,Solar blind UV; ONVIF; UDP API; HDMI; IP65,-20°C to +55°C,"Minimum discharge 1 pC @ 15 m",External PT platform (Pontis PT83 compatible),no,no,45,"{""Part Number"":""250000"",""Visible Lens"":""28-51 mm"",""UV Lens"":""55-110 mm"",""Visible Sensor"":""5.1 x 3.8 mm"",""UV Sensor"":""17.5 mm diameter"",""HFOV"":""10-6.3 deg"",""VFOV"":""5.6-3.6 deg"",""Recommended Simulation Lens"":""28 mm"",""Streaming"":""RTSP"",""ONVIF"":""S + UV event counting"",""API"":""UDP Command Protocol"",""Display Modes"":""Visible, UV, Combined""}"
PONTIS-EMC-IPCam72_SFP-DS-2025-05-28-EN.pdf,2,TECHNICAL DATA,Pontis,EMC hardened PTZ cameras,IPCam72_SFP,IPCam72_SFP,,IPCam72_SFP,,,,1920x1080 (HD 1080p),1920,1080,2.07,2 MP,"1/2.8 CMOS, 4.44~142.6 mm motorized varifocal, 32x optical zoom",1/2.8,4.44,142.6,1.6,4.4,61.8,2.19,,60,H.265/H.264 max 60 fps,32x,0.05 Lux color / 0.005 Lux B&W,120 dB WDR,,PoE or 12VDC,Alarm I/O 1 in / 1 out,Audio In/Out,yes,no,DIS image stabilization; Defog; Motion Detection,"Directional, Face, Motion, Auto Tracking, Loitering, Tampering, Virtual Line, Audio Detection",,200 V/m EMC hardened; Fibre optic SFP interface; ONVIF S/G/T; SUNAPI; DORI metrics available,,,"PT83 compatible; pan 0°-360° and tilt -70° to +20°",no,no,38,"{""Sensor"":""1/2.8 CMOS"",""Resolution"":""1920x1080"",""Zoom"":""32x optical"",""Lens"":""4.44-142.6 mm motorized varifocal"",""HFOV"":""61.8-2.19 deg"",""VFOV"":""36.2-1.24 deg"",""Min Illumination"":""0.05 Lux Color, 0.005 Lux B&W"",""WDR"":""120 dB"",""Defog"":""Yes"",""DIS"":""Yes"",""Analytics"":""Directional, Face, Motion, Auto Tracking, Loitering, Tampering, Virtual Line, Audio Detection"",""Audio"":""In/Out"",""Alarm IO"":""1 In / 1 Out"",""ONVIF"":""S/G/T"",""PTZ"":""Zoom built in camera; pan/tilt via PT83""}"
PONTIS-EMC-IRThermo6-DS-2025-03-15-EN.pdf,2,Technical Data,Pontis,EMC hardened thermal cameras,IRThermo6,IRThermo6,5 mm,IRThermo6 - 5 mm,lens_variant,5 mm,,640x480,640,480,0.31,640x480,"5 mm lens, 67° x 50° FOV",,5,5,,,67,67,5,32,32 Hz,No optical zoom,,,,Power supply required; IPCNV optical converter required,,,,,,Temperature ROI and threshold monitoring via PC software,,,RF immunity 200 V/m up to 18 GHz; CISPR 25 Class 5; ISO 11452; Ethernet interface; fibre optic signal lines,0°C to 300°C (optional 1000°C),≤50mK@25,Fixed lens with electric focusing function,yes,yes,24,"{""Lens"":""5 mm"",""Zoom"":""None"",""Focus"":""Fixed lens with electric focusing function"",""HFOV"":""67 deg"",""VFOV"":""50 deg"",""Angular Resolution"":""3.4 mrad"",""Detect Vehicle"":""451 m"",""Identify Vehicle"":""113 m"",""Detect Human"":""147 m"",""Identify Human"":""56 m""}"
PONTIS-EMC-IRThermo6-DS-2025-03-15-EN.pdf,2,Technical Data,Pontis,EMC hardened thermal cameras,IRThermo6,IRThermo6,7 mm,IRThermo6 - 7 mm,lens_variant,7 mm,,640x480,640,480,0.31,640x480,"7 mm lens, 51.2° x 38.5° FOV",,7,7,,,51.2,51.2,7,32,32 Hz,No optical zoom,,,,Power supply required; IPCNV optical converter required,,,,,,Temperature ROI and threshold monitoring via PC software,,,RF immunity 200 V/m up to 18 GHz; CISPR 25 Class 5; ISO 11452; Ethernet interface; fibre optic signal lines,0°C to 300°C (optional 1000°C),≤50mK@25,Fixed lens with electric focusing function,yes,yes,24,"{""Lens"":""7 mm"",""Zoom"":""None"",""Focus"":""Fixed lens with electric focusing function"",""HFOV"":""51.2 deg"",""VFOV"":""38.5 deg"",""Angular Resolution"":""2.4 mrad"",""Detect Vehicle"":""639 m"",""Identify Vehicle"":""160 m"",""Detect Human"":""208 m"",""Identify Human"":""80 m""}"
PONTIS-EMC-IRThermo6-DS-2025-03-15-EN.pdf,2,Technical Data,Pontis,EMC hardened thermal cameras,IRThermo6,IRThermo6,8 mm,IRThermo6 - 8 mm,lens_variant,8 mm,,640x480,640,480,0.31,640x480,"8 mm lens, customizable option",,8,8,,,,,8,32,32 Hz,No optical zoom,,,,Power supply required; IPCNV optical converter required,,,,,,Temperature ROI and threshold monitoring via PC software,,,RF immunity 200 V/m up to 18 GHz; CISPR 25 Class 5; ISO 11452; Ethernet interface; fibre optic signal lines,0°C to 300°C (optional 1000°C),≤50mK@25,Fixed lens with electric focusing function,yes,yes,24,"{""Lens"":""8 mm"",""Zoom"":""None"",""Focus"":""Fixed lens with electric focusing function"",""Status"":""Customizable lens option listed by manufacturer; FOV not published in available table""}"
PONTIS-EMC-IRThermo6-DS-2025-03-15-EN.pdf,2,Technical Data,Pontis,EMC hardened thermal cameras,IRThermo6,IRThermo6,10 mm,IRThermo6 - 10 mm,lens_variant,10 mm,,640x480,640,480,0.31,640x480,"10 mm lens, 36° x 27° FOV",,10,10,,,36,36,10,32,32 Hz,No optical zoom,,,,Power supply required; IPCNV optical converter required,,,,,,Temperature ROI and threshold monitoring via PC software,,,RF immunity 200 V/m up to 18 GHz; CISPR 25 Class 5; ISO 11452; Ethernet interface; fibre optic signal lines,0°C to 300°C (optional 1000°C),≤50mK@25,Fixed lens with electric focusing function,yes,yes,24,"{""Lens"":""10 mm"",""Zoom"":""None"",""Focus"":""Fixed lens with electric focusing function"",""HFOV"":""36 deg"",""VFOV"":""27 deg"",""Angular Resolution"":""1.7 mrad"",""Detect Vehicle"":""902 m"",""Identify Vehicle"":""225 m"",""Detect Human"":""294 m"",""Identify Human"":""113 m""}"
PONTIS-EMC-IRThermo6-DS-2025-03-15-EN.pdf,2,Technical Data,Pontis,EMC hardened thermal cameras,IRThermo6,IRThermo6,15 mm,IRThermo6 - 15 mm,lens_variant,15 mm,,640x480,640,480,0.31,640x480,"15 mm lens, 24.6° x 18.6° FOV",,15,15,,,24.6,24.6,15,32,32 Hz,No optical zoom,,,,Power supply required; IPCNV optical converter required,,,,,,Temperature ROI and threshold monitoring via PC software,,,RF immunity 200 V/m up to 18 GHz; CISPR 25 Class 5; ISO 11452; Ethernet interface; fibre optic signal lines,0°C to 300°C (optional 1000°C),≤50mK@25,Fixed lens with electric focusing function,yes,yes,24,"{""Lens"":""15 mm"",""Zoom"":""None"",""Focus"":""Fixed lens with electric focusing function"",""HFOV"":""24.6 deg"",""VFOV"":""18.6 deg"",""Angular Resolution"":""1.1 mrad"",""Detect Vehicle"":""1353 m"",""Identify Vehicle"":""338 m"",""Detect Human"":""441 m"",""Identify Human"":""169 m""}"
